artifact;repo
org.apache.beam:beam-sdks-java-io-kafka;https://gitbox.apache.org/repos/asf/beam
org.apache.neethi:neethi;https://gitbox.apache.org/repos/asf/ws-neethi
org.apache.rampart:rampart;https://gitbox.apache.org/repos/asf/axis-axis2-java-rampart
org.apache.rampart:rampart-core;https://gitbox.apache.org/repos/asf/axis-axis2-java-rampart
org.apache.rampart:rampart-policy;https://gitbox.apache.org/repos/asf/axis-axis2-java-rampart
org.apache.rampart:rampart-trust;https://gitbox.apache.org/repos/asf/axis-axis2-java-rampart
org.apache.ws.commons.axiom:axiom-api;https://gitbox.apache.org/repos/asf/ws-axiom
org.apache.ws.commons.axiom:axiom-dom;https://gitbox.apache.org/repos/asf/ws-axiom
org.apache.ws.commons.axiom:axiom-impl;https://gitbox.apache.org/repos/asf/ws-axiom
org.apache.cxf:cxf-rt-ws-addr;https://gitbox.apache.org/repos/asf/cxf
org.apache.sling:org.apache.sling.servlets.annotations;https://gitbox.apache.org/repos/asf/sling-org-apache-sling-servlets-annotations
org.apache.wss4j:wss4j-ws-security-common;https://gitbox.apache.org/repos/asf/ws-wss4j
org.apache.ignite:ignite-spring;https://gitbox.apache.org/repos/asf/ignite.git/ignite-parent-internal/ignite-spring
org.apache.ignite:ignite-zookeeper;https://gitbox.apache.org/repos/asf/ignite.git/ignite-parent-internal/ignite-zookeeper
org.apache.sling:org.apache.sling.jcr.base;https://gitbox.apache.org/repos/asf/sling-org-apache-sling-jcr-base
org.apache.sling:org.apache.sling.commons.classloader;https://gitbox.apache.org/repos/asf/sling-org-apache-sling-commons-classloader
org.apache.sling:org.apache.sling.testing.sling-mock.junit5;https://gitbox.apache.org/repos/asf/sling-org-apache-sling-testing-sling-mock
org.apache.bval:org.apache.bval.bundle;https://gitbox.apache.org/repos/asf/bval
org.apache.ws.xmlschema:xmlschema-core;https://gitbox.apache.org/repos/asf/ws-xmlschema
org.apache.hbase:hbase;https://gitbox.apache.org/repos/asf/hbase
org.apache.lucene:lucene-analyzers-morfologik;https://gitbox.apache.org/repos/asf/lucene-solr
org.apache.lucene:lucene-spatial-extras;https://gitbox.apache.org/repos/asf/lucene
org.apache.lucene:lucene-spatial3d;https://gitbox.apache.org/repos/asf/lucene
org.apache.servicemix.bundles:org.apache.servicemix.bundles.reflections;https://gitbox.apache.org/repos/asf?p=servicemix-bundles.git
org.apache.commons:commons-fileupload2-javax;https://gitbox.apache.org/repos/asf/commons-fileupload
org.apache.hbase:hbase-asyncfs;https://gitbox.apache.org/repos/asf/hbase.git/hbase-build-configuration/hbase-asyncfs
org.apache.hbase:hbase-http;https://gitbox.apache.org/repos/asf?p=hbase.git/hbase-build-configuration/hbase-http
org.apache.hbase:hbase-logging;https://gitbox.apache.org/repos/asf/hbase.git/hbase-build-configuration/hbase-logging
org.apache.hbase:hbase-metrics;https://gitbox.apache.org/repos/asf/hbase.git/hbase-build-configuration/hbase-metrics
org.apache.hbase:hbase-metrics-api;https://gitbox.apache.org/repos/asf/hbase.git/hbase-build-configuration/hbase-metrics-api
org.apache.hbase:hbase-zookeeper;https://gitbox.apache.org/repos/asf/hbase.git/hbase-build-configuration/hbase-zookeeper
org.apache.rat:apache-rat;https://gitbox.apache.org/repos/asf/creadur-rat
org.apache.solr:solr-test-framework;https://gitbox.apache.org/repos/asf/solr
