artifact;repository
org.jvnet.hyperjaxb3:hyperjaxb3-hibernate-sample;unknown
org.jumpmind.symmetric:symmetric-postgres;unknown
org.jvnet.jaxb2.maven2:maven-jaxb2-plugin-tests-episodes-b;unknown
org.jvnet.jaxb2.maven2:maven-jaxb2-plugin-tests-episodes-a;unknown
org.kantega.jexmec:jexmec-pico;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-sample-po-final;unknown
org.kantega.jexmec:jexmec-store;unknown
org.jvnet.jaxb2.maven2:maven-jaxb2-plugin-tests-two;unknown
org.jruby.extras:jna;unknown
org.jresearch.flexess.test:org.jresearch.flexess.test.pom;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-tests-enum;unknown
org.jvnet.jaxbvalidation:jaxbvalidation-test-one;unknown
org.jvnet.hyperjaxb2:hyperjaxb2;unknown
org.jvnet.hudson.hadoop:hadoop-core;unknown
org.jvnet.hyperjaxb3:hyperjaxb3-jdo-schemas;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-tests-derby;unknown
org.jvnet.jaxbcommons:jaxbcommons-sample-po-final;unknown
org.kairosdb:client;unknown
org.jvnet.hyperjaxb3:hyperjaxb3-runtime;unknown
org.jpmml:pmml-xgboost-testing;unknown
org.jvnet.jaxbhelp:jaxbhelp-tests;unknown
org.jvnet.jaxb2_commons:samples-basic-maven;unknown
org.jumpmind.symmetric:symmetric-mssql;unknown
org.jvnet.hudson:typica;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-hibernate-mapping;unknown
org.juhewu:mail-spring-boot-samples;unknown
org.jvnet.hyperjaxb3:hyperjaxb3-hibernate-plugin;unknown
org.jsdoctoolkit:jsdoc;unknown
org.jvnet.hudson.jackson:jackson;unknown
org.jumpmind.symmetric:symmetric-android;unknown
org.jvnet.hyperjaxb3:hyperjaxb3-hibernate-mapping;unknown
org.jumpmind.symmetric:symmetric-ftp;unknown
org.jvnet.jaxbvalidation:jaxbvalidation-templates;unknown
org.jvnet.jaxbcommons:jaxbcommons-tests-nokis;unknown
org.jvnet.hypercompass:hypercompass-shared;unknown
org.jresearch.flexess.umi:org.jresearch.flexess.umi.pom;unknown
org.jvnet.hypercompass:hypercompass-compass-customizations;unknown
org.jvnet.updatecenter2:pkg;unknown
org.jvnet.jaxb2_commons:jaxb-xjc;unknown
org.jvnet.hyperjaxb3:hyperjaxb3-hibernate-customizations;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-sample-nokis;unknown
org.jvnet.hifaces:hifaces;unknown
org.jvnet.ogc:gml-v_3_1_1-profiles-gmlsfprofile-v_1_0_0-schema;unknown
org.jvnet.jaxbcommons:jaxbcommons-tests-tone;unknown
org.kairosdb.metrics4jplugin:prometheus;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-hibernate-customizations;unknown
org.jvnet.animal-sniffer:java-signatures;unknown
org.jsecurity:docbook-libs;unknown
org.jvnet.hyperjaxb3:hyperjaxb3-tools;unknown
org.jresearch.commons.gxt.crud:org.jresearch.commons.gxt.crud.pom;unknown
org.juhewu:auto-configure-sample;unknown
org.jvnet.ec2-sshd:ec2-sshd;unknown
org.jresearch.dominokit:theme-processor;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-testing;unknown
org.jvnet.hyperjaxb3:hyperjaxb3-ejb-tests;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-tests-ccr;unknown
org.jvnet.jaxbhelp:jaxbhelp-tests-iso19115;unknown
org.juhewu:mail-spring-boot-autoconfigure;unknown
org.jvnet.hyperjaxb3:hyperjaxb3-hibernate-roundtrip;unknown
org.jvnet.jaxbvalidation:jaxbvalidation-samples;unknown
org.jvnet.jaxbcommons:jaxbcommons-tests-ai;unknown
org.jvnet.transcoder:maven-transcoder-plugin;unknown
org.kairosdb.metrics4jplugin:m4j-influxdb;unknown
org.jvnet.animal-sniffer:java1.3;unknown
org.jvnet.animal-sniffer:java1.4;unknown
org.jvnet.animal-sniffer:java1.5;unknown
org.jvnet.animal-sniffer:java1.6;unknown
org.jtestr:jtestr;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-samples;unknown
org.jvnet.hypercompass:hypercompass-compass-mapping;unknown
org.jvnet.its:issuetracker-stats;unknown
org.jvnet.hudson:commons-jexl;unknown
org.jvnet.hudson.tools:nabaztag;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-tests-component;unknown
org.jsonhoist:jsonhoist;unknown
org.jresearch.flexess.models:org.jresearch.flexess.models.pom;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-tests-bibtexml;unknown
org.jvnet.hyperjaxb3:hyperjaxb3-hibernate-configuration;unknown
org.kantega.jexmec:jexmec-plexus;unknown
org.jresearch.commons.gxt.admin:org.jresearch.commons.gxt.admin.pom;unknown
org.jvnet.hudson.plugins.mercurial:ini4j;unknown
org.jvnet.hudson:org.suigeneris.jrcs.rcs;unknown
org.jruby.extras:rails-integration;unknown
org.jvnet.jaxbvalidation:jaxbvalidation-template-basic;unknown
org.jvnet.hudson:guice;unknown
org.jvnet.hudson:selenium-grid-remote-control-standalone;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-tests-addressbook;unknown
org.jvnet.transcoder:transcoder-project;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-tests-customizations;unknown
org.kairosdb.metrics4jplugin:kairosdb;unknown
org.kairosdb.metrics4jplugin:influxdb;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-tests-idsymbolspace;unknown
org.jsonhoist:jsonhoist-spring-boot-autoconfigure;unknown
org.jvnet.jaxbhelp.maven2:maven-jaxbhelp-plugin;unknown
org.jvnet.hudson:ganymed-ssh2;unknown
org.jvnet.wagon-svn:wagon-svn;unknown
org.jvnet.jax_ws_commons:guicemanaged;unknown
org.jvnet.hudson:activation;unknown
org.jvnet.jaxbvalidation:jaxbvalidation-test-dpr;unknown
org.jruby.embed:jruby-embed;unknown
org.jsdoctoolkit:jsdoctoolkit-ant-task;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-template-basic;unknown
org.juhewu:mail-spring-boot-actuator;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-tests;unknown
org.jvnet.hyperjaxb2:hyperjaxb2-tests-any;unknown
org.jvnet.hypercompass:hypercompass-core;unknown
org.jsonhoist:jsonhoist-core;unknown
org.jvnet.transcoder:transcoder-tests;unknown
org.jvnet.hudson:vijava;unknown
org.jvnet.hudson:ivy;unknown
org.jvnet.hyperjaxb3:hyperjaxb3-hibernate-sample-ant;unknown
org.jvnet.jaxbhelp:jaxbhelp-tests-nokis;unknown
org.jvnet.hyperjaxb3:hyperjaxb3-testing;unknown
org.jvnet.hyperjaxb3:hyperjaxb3-hibernate-runtime;unknown
org.jvnet.jaxbhelp:jaxbhelp-core;unknown
org.jvnet.jaxbhelp:jaxbhelp-structure;unknown
org.juhewu:mail-redis-repository-sample;unknown
org.jvnet.jaxb.reflection:jaxb2-reflection;unknown
org.jvnet.jaxbcommons:jaxbcommons-samples;unknown
org.jvnet.jaxbvalidation:jaxbvalidation-test-nokis;unknown
mockobjects:mockobjects-jdk1.4-j2ee1.3;unknown
net.robertcollins:lsb;unknown
commons-jelly:commons-jelly-tags-util;unknown
forehead:forehead;unknown
com.saucelabs:sauce-rest-api;unknown
com.sun.xml:relaxngDatatype;unknown
com.googlecode.scalaz:scalaz-core_2.8.0;unknown
net.liftweb:lift-common_2.9.0;unknown
com.sun.localizer:comresrcgen;unknown
com.sun.localizer:localizer;unknown
com.sun.pkg:pkg-toolkit;unknown
com.sun.solaris:embedded_su4j;unknown
com.sun.winsw:winsw;unknown
commons-jelly:commons-jelly-tags-fmt;unknown
commons-jelly:commons-jelly-tags-dynabean;unknown
commons-jelly:commons-jelly-tags-junit;unknown
commons-jelly:commons-jelly-tags-log;unknown
jaxme:jaxme2;unknown
org.compass:compass;unknown
com.mebigfatguy:fbcontrib;unknown
org.apache.hadoop:hadoop-mapreduce;unknown
jaxme:jaxme-api;unknown
msv:relaxngDatatype;unknown
msv:xsdlib;unknown
it.could:webdav;unknown
br.com.ingenieux.maven.annomojo:org.jfrog.maven.maven-plugin-anno;unknown
net.liftweb:lift-common_2.8.0;unknown
net.liftweb:lift-common_2.8.1;unknown
net.liftweb:lift-common_2.8.2;unknown
org.jgroups.rolling-upgrades:jgroups-4.x;unknown
org.jibx.test.webschema:org.jibx.schema.company;unknown
org.jibx.config.external:org.apache.servicemix.bundles.dom4j;unknown
org.jibx.schema.config:obr;unknown
org.jibx.test.basebinding:org.jibx.schema.person;unknown
org.jibx.config:main-reactor2;unknown
org.jibx.config.external:org.apache.servicemix.bundles.xpp3;unknown
org.jibx.config.external:joda-time;unknown
org.jibx.test:org.jibx.test.gen;unknown
org.jibx.test:org.jibx.test.genandbind;unknown
org.jibx.config:obr;unknown
org.jibx.test.webschema:org.jibx.schema.address;unknown
org.jibx.test:test-suite-reactor;unknown
org.jibx.test:org.jibx.test.comparedocs;unknown
org.jibx.test.webschema:web-schema-test;unknown
org.jibx.test.webschema:org.jibx.schema.person;unknown
org.jgroups.rolling-upgrades:relay-server;unknown
org.jibx.test.basebinding:base-binding-test;unknown
org.jibx.test:org.jibx.test.bind;unknown
org.jibx.schema.config:schema-utilities-reactor2;unknown
org.jibx.test.basebinding:org.jibx.schema.company;unknown
org.jibx.config:external-obr;unknown
org.jibx.test:org.jibx.test.jibx2wsdl;unknown
org.jibx.test.basebinding:org.jibx.schema.address;unknown
org.jibx.config.external:org.apache.servicemix.bundles.jdom;unknown
org.jibx.test.basebinding:org.jibx.schema.test.person;unknown
javax.management.j2ee:management-api;unknown
org.eclipse.emf:codegen;unknown
org.eclipse:compare;unknown
com.sun.jini:checkconfigurationfile;unknown
com.sun.jini:checkser;unknown
com.sun.jini:classdep;unknown
com.sun.jini:classserver;unknown
com.sun.jini:computedigest;unknown
com.sun.jini:computehttpmdcodebase;unknown
com.sun.jini:destroy;unknown
com.sun.jini:envcheck;unknown
com.sun.jini:group;unknown
com.sun.jini:jarwrapper;unknown
com.sun.jini:jini-start-examples;unknown
com.sun.jini:jini-starterkit;unknown
com.sun.jini:sun-util;unknown
com.sun.jini:tools;unknown
net.jini:jini-core;unknown
net.jini:jini-ext;unknown
net.jini:jsk-lib;unknown
net.jini:jsk-platform;unknown
net.jini:jsk-resources;unknown
org.appdapter:ext.bundle.apache_qpid_032;unknown
org.jetbrains.kotlinx:ktor-client-core;unknown
org.jetbrains.kotlinx:ktor-client;unknown
org.jetbrains.kotlinx:serialization;unknown
org.jetbrains.kotlinx:json2kt;unknown
org.jdbi:jdbi3-policy;unknown
org.jdbi:jdbi3-spring;unknown
org.jeecgframework.boot:jeecg-boot-base-core;unknown
org.jeecgframework.boot:jeecg-boot-starter-redis;unknown
org.jdbi:jdbi3-jackson3;unknown
org.jconfig:jconfig;unknown
org.jeecgframework.boot:jeecg-system-cloud-api;unknown
org.jeecgframework.boot:jeecg-boot-base;unknown
org.jeecgframework.boot:jeecg-boot-base-tools;unknown
org.jeecgframework.boot:jeecg-boot-base-api;unknown
org.jeecgframework.boot:jeecg-system-local-api;unknown
org.clojure:clojure-contrib;unknown
org.freedesktop.tango:tango-icon-theme;unknown
jencks:genericra;unknown
org.apache.river:reggie;unknown
org.jboss.pnc:bpm-mock;unknown
org.jboss.pnc:rest-client;unknown
org.jboss.portletbridge.archetypes:seam-basic;unknown
org.jboss.pnc:causeway-client;unknown
org.jbundle.util.osgi.wrapped:jbundle-util-osgi-repackaged-reactor;unknown
org.jboss.pnc:dto;unknown
org.jboss.pnc:rest;unknown
org.jboss.pnc:termd-build-driver;unknown
org.jbundle.res:org.jbundle.res.docs;unknown
org.jboss.ws.metro:jbossws-metro-resources;unknown
org.jboss.ws.metro:jbossws-metro-wsit;unknown
org.jboss.portletbridge.archetypes:richfaces-basic;unknown
org.jboss.pnc:processor;unknown
org.jbpm:report-server;unknown
org.jboss.pnc:moduleconfig;unknown
org.jboss.ws.metro:jbossws-metro-server;unknown
org.jboss.pnc:integration-test;unknown
org.jboss.ws.metro:jbossws-metro-client;unknown
org.jboss.pnc:test-common;unknown
org.jboss.pnc:messaging;unknown
org.jbundle.thin.app:org.jbundle.thin.app.calendar;unknown
org.jboss.resteasy:resteasy-embedded-server-tests;unknown
org.jboss.pnc:spi;unknown
org.jboss.ws.metro:jbossws-metro-management;unknown
org.jboss.pnc:openshift-environment-driver;unknown
org.jboss.resteasy.channels:resteasy-7.0;unknown
org.jboss.pnc:auth;unknown
org.jboss.pnc:web;unknown
org.jboss.pnc:build-coordinator;unknown
org.jboss.threads:jboss-threads-metadata;unknown
org.jboss.pnc:constants;unknown
org.jboss.pnc:ui;unknown
org.jbundle.app.contact:jbundle-app-contact-web-reactor;unknown
org.jboss.pnc:messaging-spi;unknown
org.jbundle.base:org.jbundle.base.other;unknown
org.jboss.pnc:indy-repository-manager;unknown
org.jbpm:report-parent;unknown
org.jboss.pnc:pnc-mock;unknown
org.jbundle.app.contact:org.jbundle.app.contact;unknown
org.jboss.resteasy:resteasy-jaxrs-src-dist;unknown
org.jboss.pnc:model;unknown
org.jboss.remoting3:jboss-remoting-metadata;unknown
org.jboss.pnc:mapper;unknown
org.jboss.pnc:facade;unknown
org.jboss.pnc:common;unknown
org.jboss.pnc:notifications;unknown
org.jboss.pnc:build-executor;unknown
org.jboss.pnc:demo-data;unknown
org.jboss.pnc:ear-package;unknown
org.jboss.pnc:rest-client-jakarta;unknown
org.jboss.resteasy:resteasy-reference-guide;unknown
org.jbpm:jbpm-sith-drools-quarkus-integration-test-maven-devmode;unknown
org.jboss.pnc:datastore;unknown
org.jbundle.app.test:org.jbundle.app.test;unknown
org.jbpm:jbpm-jpdl-designer;unknown
org.jbundle.app.contact:org.jbundle.thin.app.contact;unknown
org.jboss.xnio:xnio-metadata;unknown
org.jbundle.config.web:jbundle-config-web-webapp;unknown
org.jbundle.config.web:org.jbundle.web.httpweb;unknown
org.jbundle.base.db:org.jbundle.base.db;unknown
org.jboss.portletbridge.archetypes:1.2-basic;unknown
org.jbundle.config.web:jbundle-config-web-jnlp;unknown
org.jboss.pnc:bpm;unknown
org.jboss.remoting:jboss-remoting-core;unknown
org.jbundle.main:org.jbundle.main.misc;unknown
org.jboss.pnc:rest-api;unknown
org.jboss.remoting:jboss-remoting-api;unknown
org.jbpm:report-core;unknown
org.jbundle.app.contact:jbundle-app-contact-web-jnlp;unknown
org.jbundle.app.program:org.jbundle.app.program;unknown
org.jbundle.thin.base.screen:org.jbundle.thin.base.screen.cal.sample.remote;unknown
org.jboss.remoting:jboss-remoting-socket;unknown
org.jbundle.thin.base:org.jbundle.thin.base.mixed;unknown
org.jbundle.thin.base.screen:org.jbundle.thin.base.screen.cal.sample.basic;unknown
org.jbundle.config.web:jbundle-config-web-webbundle;unknown
org.jboss.portletbridge.archetypes:2.0-basic;unknown
org.jboss.remoting:jboss-remoting-socket-client;unknown
org.jboss.pnc:remote-build-coordinator;unknown
org.jbundle.base:org.jbundle.base.util;unknown
org.jbundle.app.contact:jbundle-app-contact-web-webapp;unknown
org.jbundle.base.screen:org.jbundle.base.screen.misc;unknown
org.jbundle.config.web:jbundle-config-web-site;unknown
org.jbundle.app.contact:jbundle-app-contact-reactor;unknown
org.jbundle.config:org.jbundle.config.archetype;unknown
org.jboss.pnc:integration-test-rex;unknown
org.jboss.pnc:dingrogu-client;unknown
org.jbundle.base.message:org.jbundle.base.message.misc;unknown
org.jbundle.app.contact:org.jbundle.res.app.contact;unknown
org.jboss.resteasy.channels:resteasy-6.2;unknown
org.jbundle.app.program:org.jbundle.app.program.manual;unknown
org.jbundle.config.web:org.jbundle.web.httpservice;unknown
org.jbundle.base:org.jbundle.base.mixed;unknown
ant:optional;unknown
org.hornetq:hornetq-transports;unknown
org.jboss.javaee:jboss-ejb-api;unknown
org.jboss.logging:jboss-logging-jdk;unknown
org.jboss.logging:jboss-logging-logmanager;unknown
com.sun.messaging.mq:jaxm-api;unknown
javax.ccpp:ccpp;unknown
org.glassfish.common:glassfish-api;unknown
org.jboss.jbossas:jboss-as-ejb3-core;unknown
org.jboss.jbossas:jboss-as-ejb3-ext-API;unknown
org.jboss.jbossas:jboss-metadata;unknown
org.jboss.marshalling:river;unknown
org.jboss.javaee:jboss-transaction-api;unknown
org.jboss.javaee:jboss-servlet-api;unknown
org.jboss.marshalling:serial;unknown
org.jasig.uportal:uportal;unknown
org.jboss.marshalling:serialization-java;unknown
org.jboss.errai:errai-cdi-examples-server;unknown
org.jboss.javaee:jboss-persistence-api;unknown
org.jboss.maven.plugins:maven-jboss-retro-plugin;unknown
org.jboss.javaee:jboss-jaxr-api;unknown
org.jboss.errai:errai-cdi;unknown
org.jboss.as.legacy.naming:jboss-as-legacy-naming-spi-server;unknown
org.jboss.metadata:jboss-metadata-rar;unknown
org.jboss.jbossas:jboss-as-bootstrap;unknown
org.javastack:stringmappersist;unknown
org.jboss.errai:errai-cdi-examples-model;unknown
org.javaee:javadoc;unknown
org.javastack:tomcat-juli-log4j2;unknown
org.jboss.maven.plugins:maven-jbossaop-plugin;unknown
org.jboss:javassist;unknown
org.jboss.as.legacy.naming:jboss-as-legacy-naming-eap5;unknown
org.jboss.arquillian.container:arquillian-fabric8-remote;unknown
org.jboss.javaee:jboss-jad-api;unknown
org.jboss.arquillian.container:arquillian-fabric8-common;unknown
org.jboss.maven.plugins:maven-zip-plugin;unknown
org.jboss.metadata:jboss-metadata-client;unknown
org.jboss.microcontainer:jboss-microcontainer-aggregator;unknown
org.jboss.errai:errai-cdi-examples;unknown
org.jboss.errai:jboss7-support;unknown
org.jboss.metadata:jboss-metadata-war;unknown
org.jboss.jbossas:jboss-as-sprint-int;unknown
org.jboss.deployers:jboss-deployers-aggregator;unknown
org.jboss.jbossas:jboss-as-jbossmq;unknown
org.jboss.javaee:jboss-jaxs-api;unknown
org.jboss.errai:errai-docbook-xslt;unknown
org.javastack:test-servlet;unknown
org.jasig.uportal:uportal-war;unknown
org.jboss.cl:jboss-cl-aggregator;unknown
org.jboss.arquillian.packager:arquillian-packager-parent;unknown
org.javasimon:javasimon;unknown
org.javastack:simpleauth;unknown
org.javastack:httpbench;unknown
org.javastack:webapp-properties;unknown
org.jboss.errai:errai-jms;unknown
org.jboss.as.legacy.naming:jboss-as-legacy-naming-jnp;unknown
org.jboss.maven.plugins:maven-jboss-deploy-plugin;unknown
org.javastack:memoizer;unknown
org.jboss.as.legacy.naming:jboss-as-legacy-naming-spi;unknown
org.javastack:errorhandler-servlet;unknown
org.javastack:concurrentlimit-servlet-filter;unknown
org.javastack:jipc;unknown
org.javastack:properties-agent;unknown
org.jboss.man:jboss-man-aggregator;unknown
org.jboss.marshalling:serialization-jboss;unknown
org.jboss.as.legacy:jboss-as-legacy-naming-dist;unknown
org.jboss.maven.archetypes:selenium-testng;unknown
org.javalite:app-config-spec;unknown
org.jboss.as:standalone-console;unknown
org.javastack:webapp-notifier;unknown
org.javastack:metrics-tomcat;unknown
org.javastack:systemclassloaderproperties;unknown
org.jboss:jboss-transaction-spi-parent;unknown
cas:cas;unknown
cas:cas-server;unknown
com.google.visualization:visualization-datasource;unknown
javax.security:jaas;unknown
javax.xml:jaxb-xjc;unknown
javax.xml:xmldsig;unknown
org.apache.cxf:cxf-rt-transports-common;unknown
org.hibernate:tck-utils-api;unknown
com.mycila.com.google.inject.extensions:guice-assisted-inject;unknown
com.sun.japex.jdsl:jdsl;unknown
jboss:jboss-common-core;unknown
org.glassfish.deployment:deployment-client;unknown
net.java.dev.eval:eval;unknown
edu.ucla.cs.compilers:jtb;unknown
bouncycastle:bcprov-jdk12;unknown
org.into-cps.orchestration:coe;unknown
org.iso_relax.verifier.jaxp.validation:isorelax-jaxp-bridge;unknown
org.jamon:jamon-project;unknown
org.ioke:ioke-lang;unknown
org.into-cps:modeldefinition;unknown
org.jamon:jamon;unknown
org.infrastructurebuilder.modello:modello-plugins;unknown
org.infrastructurebuilder.modello:modello-plugin-xpp3-reflect;unknown
org.ioke:ioke-lang-lib;unknown
org.infrastructurebuilder.modello:modello-maven-plugin-usurped;unknown
org.jacpfx:vxms-common;unknown
org.into-cps.orchestration:modeldefinitionchecker;unknown
org.infrastructurebuilder.modello:modello-usurped;unknown
org.into-cps:nanohttpd;unknown
org.into-cps.orchestration:webapi;unknown
org.infrastructurebuilder.templating:freemarker-templating-engine;unknown
org.int4.common:common-function;unknown
org.into-cps:orchestration;unknown
org.infrastructurebuilder.templating:velocity-templating-engine;unknown
org.j4j:j4j;unknown
org.infrastructurebuilder.templating:templating-engine;unknown
org.infrastructurebuilder.templating:templating-engine-root;unknown
org.codehaus.jsr166-mirror:jsr166y;unknown
jep:jep;unknown
nanocontainer:nanocontainer-remoting;unknown
mockobjects:mockobjects-jdk1.3;unknown
org.ifinal.finalframework.annotation:final-annotation-query;unknown
org.ibissource.ibis-adapterframework-akamai.7.0-RC3.org.ibissource:ibis-adapterframework-core;unknown
org.icefaces:icepush;unknown
org.icefaces.tutorial.ace:base;unknown
org.ibissource.ibis-adapterframework-akamai.7.0-RC3.org.ibissource:ibis-adapterframework-sap;unknown
org.impalaframework:impala-osgi-test;unknown
org.ifinalframework.javadoc:javadoc-example;unknown
org.huihoo:ofbiz-smart-framework;unknown
org.ibissource.ibis-adapterframework-akamai.7.0-RC3.org.ibissource:ibis-adapterframework-akamai;unknown
org.ibissource.ibis-adapterframework-akamai.7.0-RC3.org.ibissource:ibis-adapterframework-parent;unknown
org.icefaces.tutorial:base;unknown
org.ibissource.ibis-adapterframework-akamai.7.0-RC3.org.ibissource:ibis-adapterframework-ifsa;unknown
org.ibissource.ibis-adapterframework-akamai.7.0-RC3.org.ibissource:ibis-adapterframework-larva;unknown
org.ibissource.ibis-adapterframework-akamai.7.0-RC3.org.ibissource:ibis-adapterframework-ibm;unknown
org.ibissource.ibis-adapterframework-akamai.7.0-RC3.org.ibissource:ibis-adapterframework-example;unknown
org.ifinal.finalframework.annotation:final-annotation-core;unknown
org.ibissource.ibis-adapterframework-akamai.7.0-RC3.org.ibissource:ibis-adapterframework-tibco;unknown
org.immutables:encode-sample;unknown
org.ifinal.finalframework.annotation:final-annotation-data;unknown
org.ifinalframework.javadoc:javadoc-doclet;unknown
org.ikasan.studio:ikasan-studio-extension;unknown
org.improving:scala-improving_2.10.0-SNAPSHOT;unknown
org.ifinal.finalframework:final-velocity;unknown
org.ifinalframework.javadoc:javadoc-swagger;unknown
org.identityconnectors:identityconnectors-parent;unknown
org.impalaframework:impala-osgi;unknown
org.ifinal.finalframework.annotation:final-annotation-monitor;unknown
org.impalaframework:impala-osgi-extender;unknown
org.ifinal.finalframework.annotation:final-annotation-sharding;unknown
org.hudsonci.plugins:jcaptcha-plugin;unknown
org.infinispan.archetypes:store-archetype;unknown
org.ibissource.ibis-adapterframework-akamai.7.0-RC3.org.ibissource:ibis-adapterframework-coolgen;unknown
org.ifinal.finalframework.annotation:final-annotation-cache;unknown
org.ibissource.ibis-adapterframework-akamai.7.0-RC3.org.ibissource:ibis-adapterframework-webapp;unknown
org.ifinal.finalframework:final-logging;unknown
org.apache.hadoop:avro;unknown
com.vaadin.componentfactory:tooltip;unknown
org.aspectj:aspectjlib;unknown
jmdns:jmdns;unknown
org.http4s:http4s-examples-war_2.11;unknown
org.http4s:http4s-examples-war_2.10;unknown
org.http4s:http4s-examples-war_2.12;unknown
org.hswebframework.web:hsweb-system-oauth2-client-api;unknown
org.hornetq:hornetq-jboss-as-security;unknown
org.hornetq.rest:hornetq-rest-all;unknown
org.hswebframework:hsweb-expands-office;unknown
org.hswebframework.web:hsweb-system-oauth2-server-web;unknown
org.hswebframework:hsweb-expands-shell;unknown
org.hswebframework:hsweb-expands-compress;unknown
org.hswebframework:hsweb-expands-template;unknown
org.graniteds:granite-tide-toplink;unknown
org.graniteds:granite-tide;unknown
org.hammurapi:historyinspector-db;unknown
org.graniteds:granite-gas;unknown
org.gvnix:org.gvnix.addon.loupefield.addon;unknown
org.graniteds:granite-core-swc;unknown
org.gvnix:org.gvnix.addon.loupefield.annotations;unknown
org.hibernate:hibernate-docbook-xslt;unknown
org.hammurapi:historyoutput-db;unknown
org.graniteds:granite-tide-ejb;unknown
org.h2.compress:h2-lzf;unknown
org.graniteds:granite-gravity-swc;unknown
org.hammurapi:hammurapi-db;unknown
org.groovymud:groovymud;unknown
org.hibernate.validator:hibernate-validator-osgi-integrationtest;unknown
org.graniteds:granite-tide-eclipselink;unknown
org.graniteds:granite-eclipselink-swc;unknown
org.graniteds:granite-tide-ejb-swc;unknown
org.graniteds:granite-tide-seam-swc;unknown
org.graniteds:granite-tide-hibernate;unknown
org.graniteds:granite-gravity;unknown
org.graniteds:granite-tide-eclipselink-swc;unknown
org.hibernate:tck-utils;unknown
org.hibernate:antlr;unknown
org.hibernate:tck-utils-impl;unknown
org.graniteds:granite-seam-swc;unknown
org.graniteds:granite-tide-spring-swc;unknown
org.graniteds:granite-tide-hibernate-swc;unknown
org.graniteds:granite-tide-swc;unknown
org.graniteds:granite-tide-seam;unknown
org.hammurapi:hammurapi;unknown
org.hammurapi:historyinspector;unknown
org.graniteds:granite-hibernate-swc;unknown
org.graniteds:granite-tide-spring;unknown
org.hibernate.validator:hibernate-validator-osgi-felixtest;unknown
org.graniteds:granite-tide-toplink-swc;unknown
org.graniteds:granite-toplink-swc;unknown
org.hammurapi:historyoutput;unknown
org.hglteam:convertion-spring-binding;unknown
org.gridkit.gridbeans:gridbeans-quickrun;unknown
com.enterprisedt:edtFTPj;unknown
net.java.dev.inflector:inflector;unknown
jboss:jboss-j2se;unknown
mockobjects:mockobjects-alt-jdk1.3;unknown
mockobjects:mockobjects-alt-jdk1.3-j2ee1.3;unknown
mockobjects:mockobjects-jdk1.3-j2ee1.3;unknown
jboss:jboss-archive-browsing;unknown
directory-naming:naming-java;unknown
hibernate:antlr;unknown
org.glassfish.security:inmemory.jacc.provider;unknown
org.glassfish.osgi-platforms:equinox;unknown
org.glassfish.web:web-glue;unknown
org.glassfish.web:web-cli;unknown
org.glassfish.packager:glassfish-full-profile;unknown
org.glassfish.webservices:metro-glue;unknown
org.glassfish.packager:glassfish-common-tmp;unknown
org.glassfish.persistence.cmp:cmp;unknown
org.glassfish.web:jsf-connector;unknown
org.glassfish.security:websecurity;unknown
org.glassfish.persistence:jpa-connector;unknown
org.glassfish.web:web-ajp;unknown
org.glassfish.packager:glassfish-verifier;unknown
org.glassfish:osgi-jta;unknown
org.glassfish.packager:glassfish-jca;unknown
org.glassfish.web:web-naming;unknown
org.glassfish.security:security-all;unknown
org.glassfish.webservices:webservices-connector;unknown
org.glassfish.packager:glassfish-corba;unknown
org.glassfish.registration:registration-api;unknown
org.glassfish:osgi-ejb-container;unknown
org.glassfish.web:web-embed;unknown
org.glassfish.transaction:jta;unknown
org.glassfish:osgi-jpa;unknown
org.glassfish.osgi-platforms:osgi-platforms;unknown
org.glassfish.persistence.cmp:cmp-scripts;unknown
org.glassfish:verifier;unknown
org.glassfish.packager:glassfish-cmp;unknown
org.glassfish.persistence.cmp:cmp-support-ejb;unknown
org.glassfish:mq-distribution;unknown
org.glassfish.registration:registration;unknown
org.glassfish.packager:felix;unknown
org.glassfish.web:weld-integration-fragment;unknown
org.glassfish.web:web-gui-plugin-common;unknown
org.glassfish.security:webservices.security;unknown
org.glassfish.transaction:jts;unknown
org.glassfish.web:web-embed-impl;unknown
org.glassfish.security:realms;unknown
org.glassfish.packager:glassfish-web;unknown
org.glassfish:verifier-scripts;unknown
org.glassfish.packager:glassfish-gui;unknown
org.glassfish.packager:glassfish-cluster;unknown
org.glassfish.scripting:jython-grizzly;unknown
org.glassfish.osgi-platforms:felix;unknown
org.glassfish-repo.packager:hibernate-ips;unknown
org.glassfish.transaction:transaction-internal-api;unknown
