artifact,done
com.playtika.testcontainers:embedded-temporal,true
com.pongr:jetray_2.9.0-1,true
com.pep1:pep1-commons-jpa,true
com.pep1.jira:jira-spring-boot-client-example,true
com.playtika.nosql:aerospike-reactor-batch-updater,true
com.piaoniu:pndao-example,true
com.pojosontheweb:woko-tinymce-web4,true
com.pontusvision:janusgraph-berkeleyje,true
com.peluware:freddy-cruder-reactive-mutiny,true
com.pholser:lambspec-guava,true
com.playtika.testcontainers:embedded-opensearch,true
com.playtika.testcontainers:embedded-cockroachdb,true
com.pifutan.common:pifutan-util,true
com.pnxtest:pnx-test-starter-db,true
com.peluware:omni-search-reactive-hibernate,true
com.pontusvision:janusgraph-bigtable,true
com.pcistudio:task-processor-spring,true
com.peterphi.std.guice:stdlib-guice-thymeleaf,true
com.playtika.reactivefeign:feign-reactor-benchmarks,true
com.pig4cloud.plugin:datav-security-common-login-plugin,true
com.peluware:spring-data-crud-core,true
com.phonepe.commons:bonsai-json-eval,true
com.pojosontheweb:woko-extensions,true
com.pchudzik.springmock:springmock-infrastructure,true
com.playtika.testcontainers:embedded-aerospike-enterprise,true
com.pig4cloud.plugin:xsequence-spring-boot-starter,true
com.plausiblelabs.warwizard:warwizard-auth,true
com.pig4cloud:pigx-common-gray,true
com.paypal.selion:SeLion-Archetype,true
com.pig4cloud.plugin:nacos-mssql-datasource-plugin,true
com.pig4cloud:pig-common-datasource,true
com.pingcap.tispark:tispark-assembly-3.3_2.12,true
com.peertopark.java:dates,true
com.pojosontheweb:woko-tinymce-core,true
com.pig4cloud.plugin:captcha-core,true
com.pontusvision:example-cassandra,true
com.playtika.testcontainers:embedded-elasticsearch,true
com.planbase.pdf:Tainted,true
com.plumelog:plumelog-lucene,true
com.piesoftsol.oneservice.common:oneservice-annotation,true
com.perficient.aem:aem-datalayer.ui.apps,true
com.playtika.reactivefeign:feign-reactor-spring-mvc-test,true
com.pig4cloud.plugin:datav-security-guns-login-plugin,true
com.pchudzik.springmock:springmock-mockito,true
com.pig4cloud:pig-upms-api,true
com.pojosontheweb:ttt-maven-plugin,true
com.playtika.reactivefeign:feign-reactor-cloud2,true
com.pi4j:pi4j-library,true
com.pojosontheweb:woko-maven-plugin,true
com.payulatam.fraudvault:fraudvault-client,true
com.peterphi.std.index:index-parent,true
com.playtika.testcontainers:embedded-zookeeper,true
com.playtika.reactivefeign:feign-reactor-rx2,true
com.pettyfox.base:java-suit-base,true
com.pholser:junit-quickcheck-examples,true
com.pierfrancescosoffritti.taptargetcompose:core,true
com.plumelog:plumelog_demo,true
com.payneteasy.superfly:superfly-web,true
com.peertopark.java:restclient,true
com.pontusvision:example-cql,true
com.phonepe.sentinel-ai:sentinel-ai-models-simple-openai,true
